mean_AcX 1,mean_AcX 2,mean_AcX 3,mean_AcY 1,mean_AcY 2,mean_AcY 3,mean_AcZ 1,mean_AcZ 2,mean_AcZ 3,mean_GyX 1,mean_GyX 2,mean_GyX 3,mean_GyY 1,mean_GyY 2,mean_GyY 3,mean_GyZ 1,mean_GyZ 2,mean_GyZ 3,std_AcX 1,std_AcX 2,std_AcX 3,std_AcY 1,std_AcY 2,std_AcY 3,std_AcZ 1,std_AcZ 2,std_AcZ 3,std_GyX 1,std_GyX 2,std_GyX 3,std_GyY 1,std_GyY 2,std_GyY 3,std_GyZ 1,std_GyZ 2,std_GyZ 3,activity
-1240.581818181818,-6830.836363636364,-1109.581818181818,7217.572727272727,-5235.0,-1267.2727272727273,-917.5090909090909,-3108.327272727273,7375.454545454545,-385.2818181818182,-2763.7181818181816,-132.0818181818182,2042.1727272727273,-1338.1181818181817,-380.1090909090909,1014.7818181818182,2082.609090909091,2980.809090909091,3448.1139334208838,3439.9340203167017,1038.2020505909434,10664.92051921037,6552.171541488433,1545.6022710145353,2283.076364531198,3161.0579302422016,1407.9899511286783,3849.295003059458,3592.1758539961625,402.8948460109024,2943.1651449018773,2955.5595647150312,658.2791249014297,6902.650500656606,4275.072669441804,2806.1782794899173,2.0
-1765.8181818181818,-5154.0,-1211.0363636363636,6667.936363636363,-5153.490909090909,-1450.6,-376.92727272727274,-3466.6363636363635,7238.781818181818,2013.5636363636363,-126.45454545454545,-41.22727272727273,-1785.3181818181818,1679.7363636363636,220.6818181818182,-1422.1454545454546,-1677.1090909090908,-1700.7,3407.701881385267,2392.0227879729364,913.7297285628306,10453.478092157804,4009.4264875426093,1299.835137798077,1927.8544584310723,2183.2595803159375,1193.4777019802114,3417.0673298692113,3715.924934745206,361.5240633029943,2615.290562448666,3166.560702882754,740.3240314130045,6287.194643713037,3939.2627121546366,3857.634177363587,2.0
-3443.6545454545453,-3606.0,-1350.9454545454546,7818.890909090909,-6383.218181818182,-1117.509090909091,-976.8545454545455,-3601.090909090909,7332.890909090909,897.0545454545454,-578.0181818181818,67.23636363636363,-1270.8090909090909,1390.081818181818,247.63636363636363,-932.4636363636364,344.75454545454545,-1896.1363636363637,1692.719702062945,4528.382018899345,819.6343179776036,2312.9056198386033,9271.01092887425,1625.5442990269974,1126.4742569496418,4089.390286950888,1623.7154158705077,2272.1102639551286,3938.797663758962,381.0349286607517,3425.5886567671696,4052.177616882104,913.8519845066688,2459.657018504345,6582.320334441845,3777.058462197733,2.0
-2331.090909090909,-5008.927272727273,-1388.1454545454546,8501.60909090909,-6166.072727272727,-932.5636363636364,-1054.7636363636364,-3371.6181818181817,7413.054545454545,-657.5181818181818,-3477.163636363636,-17.136363636363637,1349.3818181818183,-1530.3727272727272,-253.07272727272726,1514.3363636363636,1355.9545454545455,2856.8818181818183,2777.5122896232638,4706.988233581467,982.1843081655355,7919.136012441868,8455.628833891004,1675.7371703618176,1674.5406747538138,3708.3790283426033,2181.71543364125,4457.7085669490825,3204.7069998739867,417.48993405987915,3443.2184600030505,2972.401388712473,802.9639945408048,5470.677448954184,5022.316282691528,3026.916194688816,2.0
-3044.109090909091,-6170.854545454546,-1196.509090909091,7602.790909090909,-5538.672727272728,-1011.4909090909091,-873.9818181818182,-4318.745454545455,7390.6,766.8909090909091,-660.0545454545454,-169.16363636363636,-112.23636363636363,208.5,12.045454545454545,54.736363636363635,-448.2181818181818,448.24545454545455,4049.3614745704704,1766.0851098422777,1181.3720047274353,10909.436474985108,2296.0963279962834,1354.7094807338146,2077.6810586535175,1304.7602596671204,1727.6310538369648,5350.587847645519,4661.193438353752,392.4365038917466,4047.4062804069576,2882.105293483788,576.3852150391285,7909.726580353483,1918.8981894534174,4725.408061622084,2.0
-4233.418181818181,-3830.6363636363635,-942.2,6622.054545454545,-5617.763636363637,-1317.6727272727273,-933.3272727272728,-3623.6363636363635,7244.709090909091,2026.709090909091,1080.9454545454546,-103.56363636363636,-2157.2090909090907,2280.018181818182,466.41818181818184,-1438.490909090909,-1135.009090909091,-3338.7090909090907,3275.6322620271435,2781.795246786025,1195.5425683459678,7574.307862572315,9178.943031770918,1293.848340902518,1650.1895930142573,2809.2617753271147,1838.573351791371,2944.0375533222905,4369.924531980684,319.84438054872095,2818.9051004551225,2131.451502793421,601.5777193320031,5442.019379113292,6078.138829213272,2456.840463039154,2.0
-2886.4545454545455,-5302.672727272728,-930.4181818181818,8647.327272727272,-5655.127272727273,-1554.8727272727272,-1910.7818181818182,-3584.309090909091,7453.909090909091,-391.53636363636366,-2658.8545454545456,163.75454545454545,1065.7636363636364,230.46363636363637,34.663636363636364,1298.4363636363637,-222.6909090909091,939.9545454545455,1998.3861062747776,4871.756937340872,1192.0094598604053,2886.761724931402,9448.49433903152,1659.1509444679612,1098.0425259343692,3579.798147548279,2135.7706445873323,2430.105327598609,4248.766995122582,541.1901898318631,3799.552652920347,3236.4220555120683,969.5310795081461,3364.623832891205,7146.522214266758,4337.0185221613065,2.0
-3027.2727272727275,-7121.2,-620.0909090909091,7050.436363636363,-6278.890909090909,-970.290909090909,-1384.6,-4206.163636363636,7585.545454545455,-580.9454545454546,-2996.7454545454543,164.4181818181818,2519.9727272727273,-1512.4,-455.58181818181816,256.58181818181816,911.8454545454546,3305.081818181818,4711.236207021158,3526.288052999538,1379.1227352952544,10590.141274297846,3183.3748082683196,1512.4575506917965,2045.41393099072,2437.991634437406,2033.2523638758203,3943.0228294277513,3027.9879080951177,597.156205874875,2898.1237110776947,2391.3204309829252,722.9148621042727,8101.9388031864655,3919.7507230257834,2641.849982430763,2.0
-3577.5636363636363,-3676.6363636363635,-805.3272727272728,6165.218181818182,-5857.690909090909,-1253.5454545454545,-1527.1454545454546,-3877.581818181818,7266.072727272727,2065.918181818182,-622.4181818181818,-184.12727272727273,-1514.1181818181817,1365.6,340.53636363636366,-838.8181818181819,-1738.2545454545455,-1830.0636363636363,4562.322800598343,2767.052372363949,1339.3240975757542,10200.192185695525,3957.0770956384517,1301.364896325558,2137.323703889192,1853.5511881095024,1635.359552954034,3477.4835340615814,3512.920560087803,473.3357276546744,3140.1845942608306,3364.644058440654,917.3582791440047,7390.851025154887,3981.59899454835,4037.724713200093,2.0
-3583.3818181818183,-2076.109090909091,-821.6545454545454,7713.618181818182,-6987.6,-1577.6727272727273,-2409.672727272727,-3483.981818181818,7352.618181818182,1094.3363636363636,-923.4272727272727,9.381818181818181,-1369.418181818182,1580.409090909091,374.23636363636365,13.309090909090909,-189.22727272727272,-2350.509090909091,1583.3266876009584,3798.1935020491337,1030.7641246479027,1911.4622959295666,10056.95745351536,1314.017033991506,1034.6304224574012,3206.0994199460674,1793.299199199966,2207.471335249999,4062.9680093142183,572.7969651680997,3322.7597548965723,4165.301799161638,1037.1310246608427,1730.1839405390324,6682.296726370075,3727.8363716174185,2.0
